date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:53	4451/4451	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224b18fead1ca3b93829a7d889fcf87fb6%22	https://www.optivue.in/robots.txt		(from )
14:41:53	64087/64087	---MCZ	200	added ('OK')	text/html	etag:W/%22bd6ea2ebdef9f5ae4dd79764b116d61a%22	https://www.optivue.in/	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/index.html	(from )
14:41:54	28356/28356	---M--	200	added ('OK')	font/woff2	etag:%22ef6cefb32024deac234e82f932a95cbd%22	https://www.optivue.in/_next/static/media/569ce4b8f30dc480-s.p.woff2	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/media/569ce4b8f30dc480-s.p.woff2	(from https://www.optivue.in/)
14:41:54	31288/31288	---M--	200	added ('OK')	font/woff2	etag:%22da83d5f06d825c5ae65b7cca706cb312%22	https://www.optivue.in/_next/static/media/93f479601ee12b01-s.p.woff2	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/media/93f479601ee12b01-s.p.woff2	(from https://www.optivue.in/)
14:41:54	71668/71668	---MCZ	200	added ('OK')	text/css	etag:W/%226a0bd2f85f357153ed2b882b8c01abbe%22	https://www.optivue.in/_next/static/css/2457efed91a6dad2.css	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/css/2457efed91a6dad2.css	(from https://www.optivue.in/)
14:41:55	3824/3824	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e52ce69038a8d6477b9c787e8609350a%22	https://www.optivue.in/_next/static/chunks/webpack-df70cda71feca323.js	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/chunks/webpack-df70cda71feca323.js	(from https://www.optivue.in/)
14:41:55	168413/168413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2297686290ec158ceac734d986fde6ff95%22	https://www.optivue.in/_next/static/chunks/4bd1b696-c7eeac9c5f87815f.js	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/chunks/4bd1b696-c7eeac9c5f87815f.js	(from https://www.optivue.in/)
14:41:56	175303/175303	---MCZ	200	added ('OK')	application/javascript	etag:W/%22147cb60951a6d882fdf0e5f9c77ef612%22	https://www.optivue.in/_next/static/chunks/684-d5850dbdcaf2f13b.js	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/chunks/684-d5850dbdcaf2f13b.js	(from https://www.optivue.in/)
14:41:56	518/518	---M--	200	added ('OK')	application/javascript	etag:%22637e6882a6f614a600f0da1bb58ccd90%22	https://www.optivue.in/_next/static/chunks/main-app-559effcd41f468be.js	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/chunks/main-app-559effcd41f468be.js	(from https://www.optivue.in/)
14:41:56	303231/303231	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299d2dd68bef2c0de3d818e5f5a22a6b3%22	https://www.optivue.in/_next/static/chunks/c857e369-993bd47bf655eaf2.js	D:/New%20folder/Pot.%20PSS/panacee%20crm%20website/www.optivue.in/_next/static/chunks/c857e369-993bd47bf655eaf2.js	(from https://www.optivue.in/)
